TRAMO CARRETERO,TIPO,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
MATAMOROS,PUENTES INTERNACIONALES,2021,2106615,1894942,2300664,2450416,2605739,2761401,2490082,2650287,2803857,2776630,2998462,3105080
CAMARGO,PUENTES INTERNACIONALES,2021,652142,613945,753893,726318,827907,763139,754854,839752,846032,860357,933263,1040174
MIGUEL ALEMAN,PUENTES INTERNACIONALES,2021,1109877,988542,1205399,1166189,1285395,1226063,1170190,1274684,1295728,1394463,1487185,1631593
REYNOSA,PUENTES INTERNACIONALES,2021,2825274,2365625,2832257,2767406,3065566,2832201,2807097,2921991,3015104,3255347,3948336,3926374
LÍNEA EXPRESS,PUENTES INTERNACIONALES,2021,3357327,1802848,2677270,2343393,2716221,2195822,2115897,2750658,2593402,4217629,7272885,2903356
LAS FLORES,PUENTES INTERNACIONALES,2021,1676099,1460826,2059216,1802070,1785107,1667048,1738089,1790130,1771102,1800446,1736896,1857251
OJINAGA,PUENTES INTERNACIONALES,2021,1121284,906387,1111062,1100791,1191699,1193670,1193904,1228579,1139627,1188372,1317976,1320585
RODOLFO ROBLES,PUENTES INTERNACIONALES,2021,366022,364163,393327,348219,408224,426316,475974,437079,441510,463541,516483,577846
PIEDRAS NEGRAS,PUENTES INTERNACIONALES,2021,1123936,823863,1205795,1293764,1337567,1207847,1570554,1673726,1779908,1969800,2559193,2748932
ACACUÑA,PUENTES INTERNACIONALES,2021,2641583,2347680,2974353,2881961,3346215,3278700,3268135,3343617,2310151,3286680,3439497,3552231
LAREDO,PUENTES INTERNACIONALES,2021,593249,452016,631985,600696,615372,573707,535763,565705,555153,567976,841916,997528
LÍNEA EXPRESS,PUENTES INTERNACIONALES,2021,5212473,3465993,4989831,3238243,4059406,3285805,3340965,4388306,4282516,6492250,10639247,3834363
JUÁREZ - LINCOLN,PUENTES INTERNACIONALES,2021,4151198,3540395,4720399,4562049,4546303,4387713,4383499,4543236,4546014,4875712,5820045,6380678
SUCHIATE II  ,PUENTES INTERNACIONALES,2021,643928,613622,779764,746080,671575,695824,714710,705725,681870,700752,740796,764412
CHAPALILLA - COMPOSTELA,CAMINOS,2022,7601484,6688322,8218792,9813781,8947029,8534293,9682063,9617958,7937407,7831568,7939027,9252088
CUAUHTEMOC - ENT. OSIRIS,CAMINOS,2022,13453132,12459486,14516353,14752725,14739736,14367409,15510497,15844258,13358381,14485854,14647509,15602291
CULIACÁN,PUENTES NACIONALES,2022,6524692,6265457,7046563,7070855,6964714,6507871,6726092,6491566,6298909,6944497,6881948,7610734
